"mpg","cylinders","displacement","horsepower","weight","acceleration","model_year"
31.5,4,98,65,2045,18.5,77
30,4,111,76,2155,14.8,77
36,4,79,56,1825,18.6,77
25.5,4,122,92,2300,15.5,77
33.5,4,85,67,1945,16.8,77
17.5,8,305,26,3880,12.5,77
17,8,260,8,4060,19,77
15.5,8,318,26,4140,13.7,77
15,8,302,17,4295,14.9,77
17.5,6,250,8,3520,16.4,77
20.5,6,231,5,3425,16.9,77
NA,6,225,2,3630,17.7,77
18.5,6,250,94,3525,19,77
16,8,400,39,4220,11.1,77
15.5,8,350,37,4165,11.4,77
15.5,8,400,40,4325,12.2,77
16,8,351,28,4335,14.5,77
29,4,97,74,1940,14.5,77
24.5,4,151,84,2740,16,77
26,4,97,71,2265,18.2,77
25.5,4,140,85,NA,15.8,77
30.5,4,98,60,2051,17,77
33.5,4,98,79,2075,15.9,77
30,4,97,64,1985,16.4,77
NA,4,97,74,2190,14.1,77
22,6,146,93,2815,14.5,77
21.5,4,121,8,2600,12.8,77
21.5,3,80,8,2720,13.5,77
NA,4,NA,NA,NA,21.5,NA
36.1,4,98,63,1800,14.4,78
32.8,4,78,53,1985,19.4,78
39.4,4,85,67,2070,18.6,78
36.1,4,91,57,1800,16.4,78
19.9,8,260,8,3365,15.5,78
NA,8,NA,24,NA,NA,NA
20.2,8,302,23,3570,12.8,78
19.2,6,231,5,3535,19.2,78
20.5,6,200,91,3155,18.2,78
20.2,6,200,81,2965,15.8,78
25.1,4,140,84,2720,15.4,78
20.5,6,225,2,3430,17.2,78
19.4,6,232,86,3210,17.2,78
20.6,6,231,5,3380,15.8,78
20.8,6,200,81,3070,16.7,78
18.6,6,225,NA,NA,NA,NA
18.1,6,258,13,3410,15.1,78
19.2,8,305,26,3425,13.2,78
17.7,6,231,35,3445,13.4,78
18.1,8,302,23,3205,11.2,78
17.5,8,318,24,4080,13.7,78
30,4,98,65,2155,16.5,78
27.5,4,134,91,2560,14.2,78
27.2,NA,119,93,NA,14.7,78
30.9,4,105,71,2230,14.5,78
21.1,4,134,91,2515,14.8,78
23.2,4,156,5,2745,16.7,78
23.8,4,151,81,2855,17.6,78
23.9,4,119,93,2405,14.9,78
20.3,5,131,4,2830,15.9,78
17,6,163,15,3140,13.6,78
21.6,4,121,11,2795,15.7,78
16.2,6,163,19,3410,15.8,78
NA,NA,NA,NA,NA,14.9,78
29.5,4,98,65,2135,16.6,78
21.5,NA,NA,11,NA,15.4,NA
19.8,6,200,81,2990,18.2,79
NA,4,NA,NA,NA,NA,NA
20.2,6,232,86,3265,18.2,79
20.6,6,225,8,3360,16.6,79
17,8,305,17,3840,15.4,79
NA,8,302,NA,NA,NA,NA
16.5,8,351,22,3955,13.2,79
18.2,8,318,20,3830,15.2,79
16.9,8,350,32,4360,14.9,79
15.5,8,351,25,4054,14.3,79
19.2,8,267,15,3605,15,79
18.5,8,360,29,3940,13,79
NA,NA,NA,68,NA,14,NA
34.1,4,86,62,1975,15.2,79
35.7,4,98,76,1915,14.4,79
NA,NA,NA,76,2670,15,NA
25.4,5,183,73,3530,20.1,79
NA,NA,NA,NA,3900,NA,79
27.2,4,141,68,3190,24.8,79
NA,NA,NA,86,NA,22.2,NA
34.2,4,105,67,2200,13.2,79
34.5,4,105,67,2150,14.9,79
31.8,4,85,62,2020,NA,79
37.3,4,91,66,2130,14.7,79
28.4,NA,151,86,2670,16,79
28.8,6,173,11,2595,11.3,79
26.8,6,173,11,2700,12.9,79
33.5,4,151,86,2556,13.2,79
41.5,4,98,72,2144,14.7,80
38.1,4,89,57,1968,18.8,80
32.1,4,98,67,2120,15.5,80
37.2,4,86,62,2019,16.4,80
28,4,151,86,2678,16.5,80
NA,4,NA,84,2870,18.1,NA
24.3,4,151,86,3003,20.1,80
19.1,6,225,86,3381,18.7,80
34.3,4,97,NA,2188,NA,80
29.8,4,134,86,2711,15.5,80
31.3,NA,120,71,2542,17.5,NA
37,NA,119,NA,2434,NA,80
32.2,4,108,71,2265,15.2,80
46.6,4,86,62,2110,17.9,80
NA,4,156,NA,2800,NA,NA
40.8,4,85,62,2110,19.2,80
44.3,4,NA,51,NA,21.7,80
43.4,4,90,51,2335,NA,80
36.4,5,121,64,2950,19.9,80
30,4,146,64,3250,21.8,80
44.6,4,91,64,1850,13.8,80
40.9,4,85,1,1835,17.3,80
NA,4,NA,NA,NA,NA,80
29.8,4,89,59,1845,15.3,80
32.7,6,168,18,2910,11.4,80
23.7,NA,70,2,2420,NA,80
35,4,122,84,2500,15.1,80
23.6,4,140,1,2905,14.3,80
NA,4,107,69,2290,17,80
27.2,4,135,80,2490,15.7,81
26.6,4,151,80,2635,16.4,81
25.8,4,156,88,2620,14.4,81
23.5,NA,173,NA,NA,12.6,NA
NA,4,NA,NA,2385,12.9,81
39.1,NA,NA,56,NA,NA,81
39,4,86,61,1875,16.4,81
35.1,4,81,57,1760,16.1,81
32.3,4,97,64,2065,17.8,81
37,4,85,62,1975,19.4,81
37.7,4,89,59,2050,17.3,81
34.1,4,91,65,1985,16,81
34.7,4,105,60,2215,14.9,81
NA,NA,NA,NA,2045,NA,81
29.9,4,98,62,2380,20.7,81
33,4,105,70,2190,14.2,81
34.5,4,100,1,2320,15.8,81
33.7,4,107,71,2210,14.4,81
NA,NA,108,71,NA,NA,NA
32.9,4,119,2,2615,14.8,81
31.6,4,120,70,2635,18.3,81
NA,4,141,76,3230,NA,NA
30.7,6,145,72,3160,19.6,81
25.4,6,168,12,2900,12.6,81
NA,6,146,13,2930,13.8,81
22.4,6,231,8,3415,15.8,81
26.6,8,350,5,3725,19,81
20.2,6,200,84,3060,17.1,81
NA,NA,225,NA,NA,16.6,NA
28,4,112,84,2605,19.6,82
27,4,112,84,2640,18.6,82
34,4,112,84,2395,18,82
NA,NA,112,NA,NA,16.2,82
29,4,135,80,2525,16,NA
NA,4,151,86,NA,18,82
24,4,140,88,2865,16.4,82
23,4,151,1,3035,20.5,82
36,4,105,70,1980,15.3,82
37,4,91,65,2025,18.2,82
31,4,91,65,1970,17.6,82
NA,NA,105,NA,NA,14.7,82
36,4,98,67,2125,17.3,82
36,4,120,84,2160,14.5,82
36,4,107,71,NA,NA,82
34,4,108,67,2245,16.9,82
38,4,91,64,1965,15,82
32,4,91,64,1965,15.7,82
38,4,91,64,1995,16.2,82
NA,NA,NA,NA,NA,NA,82
38,6,262,81,3015,17,82
NA,4,156,NA,NA,14.5,NA
22,NA,232,NA,NA,NA,82
32,4,144,92,2665,13.9,82
36,4,135,80,2370,13,82
27,4,151,86,2950,17.3,82
27,4,140,82,2790,15.6,82
44,4,97,53,2130,24.6,82
NA,NA,NA,80,NA,NA,NA
28,4,NA,75,2625,18.6,82
31,4,119,78,2720,19.4,82
